os_ukc_aft,os_heading,os_mainbeckerrudder_angle,sune_DOA,aarts_DOA,time,label
4.01697353,39.25901864,1.708225722,2688.898131,2688.901927,0:01:15,0
4.007417672,39.26953922,2.010082897,2684.273232,2684.276542,0:01:16,0
3.99894063,39.30660891,1.702465098,2666.252073,2666.256227,0:01:17,0
4.008930211,39.24472401,1.702465098,2698.612057,2698.617933,0:01:18,0
4.004079395,39.30624955,1.702465098,2668.290776,2668.295516,0:01:19,0
4.006493355,39.31283857,1.959111609,2665.804477,2665.808384,0:01:20,0
4.008588576,39.32206165,1.696715786,2661.180226,2661.183847,0:01:21,0
4.012897818,39.3269621,1.696715786,2658.505297,2658.509157,0:01:22,0
4.01316058,39.34052226,1.696715786,2651.930343,2651.934693,0:01:23,0
4.008621054,39.35069032,1.696715786,2647.330355,2647.334173,0:01:24,0
4.002288102,39.36077748,1.696715786,2642.733732,2642.736947,0:01:25,0
3.999952746,39.37076045,1.696715786,2638.139579,2638.143032,0:01:26,0
4.001420933,39.38264328,1.696715786,2632.175547,2632.179717,0:01:27,0
4.003263554,39.38856037,1.696715786,2629.008833,2629.01329,0:01:28,0
4.001444731,39.39414123,1.696715786,2625.693801,2625.697579,0:01:29,0
3.997407997,39.40387574,1.696715786,2619.796288,2619.80032,0:01:30,0
3.993387332,39.4132698,1.696715786,2614.200242,2614.204302,0:01:31,0
3.991270131,39.4192404,1.696715786,2610.68089,2610.685238,0:01:32,0
3.988492463,39.42581059,1.696715786,2607.027149,2607.031489,0:01:33,0
3.984559461,39.43575157,1.696715786,2601.50646,2601.510322,0:01:34,0
3.982276009,39.44399737,1.696715786,2596.942381,2596.946058,0:01:35,0
3.980645934,39.45258746,1.696715786,2592.381131,2592.385097,0:01:36,0
3.977742502,39.46138201,1.763214958,2587.823657,2587.827425,0:01:37,0
3.973552634,39.46971311,1.690986005,2583.269389,2583.273049,0:01:38,0
3.969673347,39.4778138,1.690986005,2578.718269,2578.721971,0:01:39,0
3.966718706,39.48662015,1.724254156,2573.915208,2573.91904,0:01:40,0
3.964548105,39.49480107,1.707390758,2569.671606,2569.675493,0:01:41,0
3.962885617,39.50325421,1.679295282,2565.219897,2565.223806,0:01:42,0
3.961227599,39.51199195,1.679062777,2560.548454,2560.552422,0:01:43,0
3.95894603,39.52058738,1.667834112,2556.012718,2556.01668,0:01:44,0
3.957736811,39.52902308,1.661718111,2551.488197,2551.492165,0:01:45,0
3.955833846,39.53741792,1.655830381,2547.000286,2547.004233,0:01:46,0
3.953294713,39.54451649,1.651869362,2542.484542,2542.488508,0:01:47,0
3.87929973,39.62193051,1.375084097,2536.811607,2536.816586,0:01:48,0
3.922617858,39.62598614,1.724067386,2534.924179,2534.929259,0:01:49,0
3.964771249,39.63241222,1.418347184,2525.525343,2525.52965,0:01:50,0
4.002683363,39.63140653,1.412204955,2525.986838,2525.990768,0:01:51,0
4.017165646,39.63532076,1.451090832,2516.928887,2516.934245,0:01:52,0
4.029638546,39.63566763,1.741535488,2516.885387,2516.891398,0:01:53,0
4.005898774,39.64089489,1.473497638,2508.270892,2508.275626,0:01:54,0
3.976967199,39.64237746,1.747455021,2505.814381,2505.819209,0:01:55,0
3.941016644,39.64590658,1.493738799,2503.457488,2503.462847,0:01:56,0
3.905519106,39.65294551,1.753209882,2497.026311,2497.031621,0:01:57,0
3.878742856,39.65769979,1.519731683,2492.627788,2492.632296,0:01:58,0
3.866657229,39.66147383,1.759220982,2488.232355,2488.236269,0:01:59,0
3.871616691,39.66535261,1.558494644,2482.356671,2482.361351,0:02:00,0
3.885810294,39.66719552,1.565771265,2479.495842,2479.500946,0:02:01,0
3.906155334,39.66856041,1.591599456,2475.114058,2475.118444,0:02:02,0
3.925286831,39.66903123,1.606449304,2470.728118,2470.731623,0:02:03,0
3.936394504,39.66941434,1.782780866,2467.554739,2467.55836,0:02:04,0
3.933363825,39.67155232,1.632058229,2461.925355,2461.929432,0:02:05,0
3.923167428,39.67329781,1.788749384,2457.552227,2457.556504,0:02:06,0
3.907948529,39.67426346,1.660211095,2453.18328,2453.186862,0:02:07,0
3.891157125,39.6758103,1.794764112,2448.817026,2448.820528,0:02:08,0
3.876028845,39.67837244,1.689328895,2444.453903,2444.457493,0:02:09,0
3.86772195,39.680014,1.800793035,2440.093907,2440.097759,0:02:10,0
3.867717668,39.68115399,1.71863354,2435.73755,2435.741321,0:02:11,0
3.871264964,39.68255987,1.806831563,2431.384441,2431.38818,0:02:12,0
3.874193098,39.6843017,1.806831563,2426.625609,2426.629308,0:02:13,0
3.875588398,39.68549798,1.761630604,2422.730705,2422.734396,0:02:14,0
3.872243344,39.68705614,1.812618227,2417.281572,2417.285363,0:02:15,0
3.870170674,39.68760245,1.785194832,2415.294246,2415.2981,0:02:16,0
3.863565946,39.68929817,1.818361562,2409.712402,2409.716211,0:02:17,0
3.859554679,39.69052428,1.818076654,2405.380051,2405.383912,0:02:18,0
3.857289965,39.69174924,1.824247051,2401.008682,2401.012562,0:02:19,0
3.853301815,39.69303465,1.830045455,2396.681662,2396.685591,0:02:20,0
3.848115516,39.69444094,1.834595341,2392.409777,2392.413676,0:02:21,0
3.846312086,39.69560954,1.83591899,2388.062968,2388.066865,0:02:22,0
3.842674029,39.69659339,1.839946541,2383.800687,2383.804576,0:02:23,0
3.803190107,39.70235423,1.930306442,2375.996311,2376.000927,0:02:24,0
3.84611682,39.70264526,1.599857276,2376.5084,2376.512836,0:02:25,0
3.869579124,39.70106207,1.936090758,2369.877113,2369.881546,0:02:26,0
3.84350578,39.70018559,1.936090758,2365.664571,2365.668396,0:02:27,0
3.808338328,39.70066172,1.64761937,2361.455533,2361.458544,0:02:28,0
3.788681991,39.70183898,1.941906024,2357.249017,2357.252011,0:02:29,0
3.796531463,39.7035909,1.941906024,2351.200658,2351.2051,0:02:30,0
3.8054261,39.70569187,1.941906024,2350.757124,2350.762633,0:02:31,0
3.803510823,39.70765208,1.694855421,2344.647819,2344.652239,0:02:32,0
3.794379308,39.70736553,1.947810509,2340.45552,2340.458889,0:02:33,0
3.789178133,39.70605601,1.947810509,2334.732997,2334.737003,0:02:34,0
3.805701889,39.70290437,1.947810509,2333.660301,2333.665642,0:02:35,0
3.81104125,39.70361272,1.947810509,2327.893722,2327.89874,0:02:36,0
3.801075282,39.70528865,1.947810509,2323.714801,2323.718589,0:02:37,0
3.771148814,39.70674453,1.947810509,2318.323026,2318.326282,0:02:38,0
3.747023391,39.70613231,1.947810509,2315.406085,2315.409769,0:02:39,0
3.74430741,39.70687045,1.947810509,2312.358744,2312.362684,0:02:40,0
3.767415168,39.70854492,1.947810509,2307.027365,2307.031099,0:02:41,0
3.778780485,39.70915371,1.947810509,2302.864392,2302.867467,0:02:42,0
3.771266515,39.70924295,1.947810509,2298.70382,2298.707154,0:02:43,0
3.749155962,39.7097718,1.947810509,2293.801921,2293.80567,0:02:44,0
3.738196773,39.70996624,2.052256975,2291.141615,2291.145481,0:02:45,0
3.739897366,39.71385549,2.027226847,2286.242296,2286.246014,0:02:46,0
3.752003066,39.71746643,1.935884999,2282.095174,2282.098903,0:02:47,0
3.754649175,39.72034601,1.997040037,2277.519349,2277.523252,0:02:48,0
3.749654251,39.72168204,1.930046895,2274.228491,2274.232348,0:02:49,0
3.741080599,39.72379008,1.971166341,2269.673613,2269.677378,0:02:50,0
3.739123584,39.72637378,1.924087555,2265.341277,2265.345059,0:02:51,0
3.739191381,39.72920267,1.942285659,2261.448937,2261.452756,0:02:52,0
3.736394562,39.73204386,1.918113273,2257.323778,2257.327586,0:02:53,0
3.731104844,39.7347537,1.913260338,2253.198882,2253.202685,0:02:54,0
3.728815233,39.73738969,1.912303984,2249.047072,2249.050852,0:02:55,0
3.725390079,39.74038731,1.906266524,2244.966803,2244.970572,0:02:56,0
3.724839063,39.74299849,1.900449764,2240.89338,2240.897105,0:02:57,0
3.722450787,39.7458294,1.900449764,2236.732831,2236.736546,0:02:58,0
3.719650925,39.74840013,1.900449764,2232.70508,2232.708776,0:02:59,0
3.716547774,39.74237548,1.870094333,2228.737932,2228.74163,0:03:00,0
3.677256124,40.18381449,-1.117984258,2223.307364,2223.311777,0:03:01,0
3.703293922,40.15810548,-0.941536768,2219.304339,2219.308758,0:03:02,0
3.722094204,40.11474079,-0.700798318,2213.244783,2213.249316,0:03:03,0
3.706918188,40.1043941,-0.594863402,2211.408973,2211.413839,0:03:04,0
3.678524143,40.07616614,-0.417820747,2207.236336,2207.240899,0:03:05,0
3.68069226,40.04830928,-0.27882057,2203.375618,2203.379192,0:03:06,0
3.704210031,40.01740393,-0.159602519,2199.370637,2199.374319,0:03:07,0
3.705791648,39.98901893,-0.027631231,2195.50995,2195.513942,0:03:08,0
3.685123173,39.97381259,0.084659177,2193.057399,2193.061917,0:03:09,0
3.669485364,39.9162459,0.267499329,2185.860129,2185.864616,0:03:10,0
3.682273967,39.8969329,0.300214153,2183.472356,2183.476209,0:03:11,0
3.690448971,39.86658728,0.57685266,2179.461289,2179.465163,0:03:12,0
3.686643101,39.8470354,0.277085752,2176.951995,2176.956465,0:03:13,0
3.671170948,39.79126211,0.861094193,2170.304498,2170.308547,0:03:14,0
3.671788946,39.77944337,0.549577023,2168.822506,2168.826537,0:03:15,0
3.681117037,39.73572924,0.890602255,2163.609192,2163.613379,0:03:16,0
3.676741449,39.70213037,1.03598984,2159.655886,2159.659919,0:03:17,0
3.664548212,39.63338007,0.983093386,2151.506946,2151.510492,0:03:18,0
3.668239716,39.68025577,1.11557788,2157.184301,2157.187591,0:03:19,0
3.660211655,39.5959974,1.255720119,2147.029295,2147.032936,0:03:20,0
3.658715447,39.56970223,1.208306761,2143.893084,2143.896966,0:03:21,0
3.652720219,39.54096206,1.374468589,2140.677012,2140.680621,0:03:22,0
3.650837083,39.50095183,1.476225728,2136.005275,2136.008577,0:03:23,0
3.6533071,39.4682085,1.511202811,2132.074954,2132.078259,0:03:24,0
3.649956596,39.43251461,1.578867525,2127.731635,2127.735331,0:03:25,0
3.64102105,39.39074686,1.640748233,2122.713789,2122.717634,0:03:26,0
3.637141345,39.38572173,1.70153534,2122.209967,2122.213722,0:03:27,0
3.636289709,39.33861818,1.731513588,2116.424172,2116.427829,0:03:28,0
3.635083234,39.30816681,1.813639888,2112.641967,2112.645706,0:03:29,0
3.63172163,39.27505632,1.846264654,2108.51351,2108.517293,0:03:30,0
3.63023253,39.24453953,1.896143472,2104.694128,2104.697919,0:03:31,0
3.627405978,39.21375813,1.937697721,2100.776235,2100.780054,0:03:32,0
3.623651117,39.18397459,1.976271259,2096.894792,2096.898604,0:03:33,0
3.619435265,39.15465718,2.013134894,2092.984805,2092.988615,0:03:34,0
3.616588453,39.12627378,2.045300157,2089.102282,2089.106077,0:03:35,0
3.613827006,39.11878988,2.076829059,2085.225781,2085.229572,0:03:36,0
3.614011368,38.56226449,4.380220348,2081.256462,2081.259533,0:03:37,0
3.631761574,38.59536734,4.081232213,2075.258261,2075.261051,0:03:38,0
3.634800701,38.59875539,4.319918327,2073.692541,2073.696787,0:03:39,0
3.627634074,38.60671176,3.942267282,2071.812942,2071.817409,0:03:40,0
3.614103564,38.65767326,3.777653862,2064.026202,2064.03037,0:03:41,0
3.612647706,38.72345098,3.893617642,2054.021828,2054.025535,0:03:42,0
3.636568716,38.59621532,3.84440718,2071.394197,2071.398662,0:03:43,0
3.594783535,38.72484505,3.492081969,2052.713685,2052.718783,0:03:44,0
3.587397464,38.73563323,3.765309271,2050.552173,2050.556803,0:03:45,0
3.588892406,38.76153224,3.350980049,2046.709332,2046.713417,0:03:46,0
3.57630408,38.7898957,3.271930762,2042.866757,2042.871208,0:03:47,0
3.560904121,38.81500233,3.467714593,2039.023655,2039.028582,0:03:48,0
3.563286205,38.82811104,3.139078167,2036.539753,2036.544231,0:03:49,0
3.568187783,38.8733419,3.033538921,2030.094394,2030.098297,0:03:50,0
3.563206878,38.89421388,3.206358485,2027.498137,2027.501915,0:03:51,0
3.559184269,38.91605866,2.902593138,2024.782218,2024.786337,0:03:52,0
3.559964176,38.96091,2.795854218,2018.758551,2018.76263,0:03:53,0
3.555786966,38.97368991,2.909741704,2016.973029,2016.976774,0:03:54,0
3.554405026,39.00953567,2.656906811,2012.090105,2012.093905,0:03:55,0
3.562720706,39.03788503,2.630982746,2008.247659,2008.251727,0:03:56,0
3.560550298,39.07226921,2.556496431,2003.704765,2003.708571,0:03:57,0
3.552148425,39.09667825,2.506053318,2000.602132,2000.605629,0:03:58,0
3.55418405,39.12103778,2.391690748,1997.351628,1997.355147,0:03:59,0
3.555748157,39.15405223,2.42819597,1992.879699,1992.883364,0:04:00,0
3.54649064,39.1862136,2.280673279,1988.627078,1988.630675,0:04:01,0
3.538551736,39.21002218,2.311053155,1985.594375,1985.597828,0:04:02,0
3.538252574,39.24426619,2.187698057,1981.086158,1981.089687,0:04:03,0
3.53508495,39.27058497,2.181911218,1977.551637,1977.555219,0:04:04,0
3.531251336,39.29829093,2.106960149,1973.839145,1973.842891,0:04:05,0
3.530244964,39.32875963,2.075271941,1969.77569,1969.779502,0:04:06,0
3.528402276,39.35657025,2.02651758,1966.024604,1966.028469,0:04:07,0
3.526892144,39.38478638,1.989421608,1962.182794,1962.186702,0:04:08,0
3.524476862,39.41279766,1.95198392,1958.319884,1958.323767,0:04:09,0
3.520750679,39.44045763,1.916436222,1954.461493,1954.465317,0:04:10,0
3.517235131,39.46730865,1.881730043,1950.646341,1950.650113,0:04:11,0
3.515413952,39.49380931,1.851436726,1946.816917,1946.820704,0:04:12,0
3.513518124,39.51983533,1.826036687,1942.968333,1942.972113,0:04:13,0
3.511417972,39.54547829,1.801650327,1939.096024,1939.09975,0:04:14,0
3.508953624,39.57027988,1.778386994,1935.254844,1935.258537,0:04:15,0
3.505807604,39.59423072,1.754648358,1931.45157,1931.455237,0:04:16,0
3.503013965,39.61374598,1.742167162,1927.574377,1927.57807,0:04:17,0
3.521522692,39.74562233,1.528964526,1926.103856,1926.109878,0:04:18,0
3.477593335,39.77249013,1.528964526,1917.748603,1917.753473,0:04:19,0
3.501577493,39.77856006,1.528964526,1916.074048,1916.078071,0:04:20,0
3.49034803,39.78627072,1.845622267,1914.33484,1914.338941,0:04:21,0
3.456670955,39.80796447,1.523195791,1908.355825,1908.359519,0:04:22,0
3.489440335,39.82657955,1.523195791,1902.680339,1902.683309,0:04:23,0
3.492479012,39.8306587,1.523195791,1900.712658,1900.715641,0:04:24,0
3.462356727,39.83753911,1.523195791,1898.673994,1898.677012,0:04:25,0
3.489485995,39.85567493,1.774291052,1892.997821,1893.000841,0:04:26,0
3.485890163,39.86917108,1.517429724,1889.15888,1889.161281,0:04:27,0
3.444809506,39.88772231,1.517429724,1883.843656,1883.845977,0:04:28,0
3.47766562,39.89147299,1.517429724,1883.007198,1883.010221,0:04:29,0
3.491455628,39.90294904,1.517429724,1877.639257,1877.642945,0:04:30,0
3.4590786,39.91500376,1.712043759,1873.800376,1873.803574,0:04:31,0
3.471663459,39.92861926,1.511678918,1869.961605,1869.964253,0:04:32,0
3.477293038,39.93836279,1.511678918,1866.122347,1866.124991,0:04:33,0
3.453844724,39.94851803,1.511678918,1861.245482,1861.248662,0:04:34,0
3.462525025,39.95424095,1.511678918,1859.505799,1859.50917,0:04:35,0
3.462218984,39.96908578,1.511678918,1853.731067,1853.734413,0:04:36,0
3.438015349,39.97637466,1.511678918,1850.778127,1850.781346,0:04:37,0
3.447935156,39.9909914,1.511678918,1843.578469,1843.582014,0:04:38,0
3.458373382,39.98124898,1.511678918,1848.470104,1848.473996,0:04:39,0
3.434909207,40.00311804,1.511678918,1838.638577,1838.642362,0:04:40,0
3.439357987,40.01002892,1.511678918,1836.017717,1836.021504,0:04:41,0
3.443949346,40.01899345,1.511678918,1831.569847,1831.573828,0:04:42,0
3.432553921,40.02614333,1.511678918,1827.73107,1827.73505,0:04:43,0
3.436834094,40.0335029,1.511678918,1823.892494,1823.896319,0:04:44,0
3.437689039,40.04118271,1.511678918,1820.053893,1820.057638,0:04:45,0
3.428201689,40.04889952,1.511678918,1816.215277,1816.219009,0:04:46,0
3.430167932,40.05556194,1.511678918,1812.376686,1812.380431,0:04:47,0
3.428705103,40.06194712,1.511678918,1808.506859,1808.510634,0:04:48,0
3.424121906,40.06855257,1.511678918,1804.703393,1804.707153,0:04:49,0
3.420550576,40.07453791,1.511678918,1800.899242,1800.902972,0:04:50,0
3.418232959,40.08037873,1.511678918,1797.059641,1797.063292,0:04:51,0
3.416300492,40.08587272,1.511678918,1793.219216,1793.222848,0:04:52,0
3.414819211,40.09071385,1.511678918,1789.378846,1789.382506,0:04:53,0
3.412416126,40.09514591,1.511678918,1785.739564,1785.74321,0:04:54,0
3.409026515,40.09972036,1.517460567,1781.670746,1781.674399,0:04:55,0
3.406726421,40.1012903,1.520676528,1777.840326,1777.843976,0:04:56,0
3.401042213,40.15094739,1.592968308,1781.272547,1781.276281,0:04:57,0
3.398461303,40.14615024,1.250161242,1772.433044,1772.436505,0:04:58,0
3.392104349,40.14112622,1.598962653,1764.270257,1764.273677,0:04:59,0
3.411691343,40.1429349,1.598962653,1762.723226,1762.726521,0:05:00,0
3.398854118,40.14745532,1.300964865,1760.4481,1760.450146,0:05:01,0
3.381989515,40.14484757,1.604805879,1753.031924,1753.034207,0:05:02,0
3.38865341,40.14344698,1.604805879,1750.991555,1750.99463,0:05:03,0
3.394251113,40.14422149,16.17334277,1748.88314,1748.886333,0:05:04,0
3.385415632,40.14572281,45.64743532,1741.732794,1741.735892,0:05:05,0
3.381915063,40.16122246,7.801673493,1739.488602,1739.491493,0:05:06,0
3.379687763,40.17552819,0,1735.644852,1735.648485,0:05:07,0
3.376039989,40.17672899,0,1725.780994,1725.785204,0:05:08,0
3.375543257,40.21445625,0,1737.761019,1737.765463,0:05:09,0
3.370137004,40.20420086,0,1722.92144,1722.925201,0:05:10,0
3.372646859,40.21214089,0,1721.489717,1721.493647,0:05:11,0
3.367989452,40.21529622,19.84270867,1716.434165,1716.438929,0:05:12,0
3.362655131,40.22456732,11.47368307,1712.598295,1712.60342,0:05:13,0
3.370446987,40.22607901,-1.165082676,1707.837814,1707.842209,0:05:14,0
3.368602161,40.23551071,-1.165082676,1705.873614,1705.877586,0:05:15,0
3.356676105,40.22486117,-1.165082676,1700.350105,1700.354195,0:05:16,0
3.362048467,40.22221289,-1.165082676,1697.276982,1697.281173,0:05:17,0
3.360447421,40.21856451,-1.165082676,1694.117036,1694.121015,0:05:18,0
3.352104254,40.2015176,3.636436188,1689.587968,1689.591589,0:05:19,0
3.356494788,40.18162835,12.00472226,1685.28799,1685.2915,0:05:20,0
3.353143526,40.17234157,1.551411822,1682.37417,1682.377669,0:05:21,0
3.342743642,40.14814192,-2.955375256,1678.083171,1678.086534,0:05:22,0
3.343063386,40.11854257,-2.955375256,1673.991957,1673.99533,0:05:23,0
3.341569874,40.08860269,-2.955375256,1670.455695,1670.459172,0:05:24,0
3.339358522,40.05022504,-2.955375256,1666.613633,1666.617208,0:05:25,0
3.338405817,40.00624393,-2.955375256,1662.78044,1662.784111,0:05:26,0
